ego_id,alter_id,is_study_peer,first_saved_week,last_saved_week,total_weeks_saved
10281,ext_fe309f24,0,59,125,55
10353,10353,1,59,77,10
10353,18420,1,59,77,10
10353,ext_00dd934a,0,59,77,10
10353,ext_01304a14,0,59,77,10
10353,ext_0244f3b9,0,59,77,10
10353,ext_038c2e85,0,59,77,10
10353,ext_0530ea7f,0,64,77,7
10353,ext_0634c140,0,59,77,10
10353,ext_06868afb,0,59,77,10
10353,ext_071777dc,0,59,77,12
10353,ext_08d7122c,0,59,77,12
10353,ext_0bef5292,0,59,77,10
10353,ext_10712d15,0,59,77,10
10353,ext_11635388,0,59,77,10
10353,ext_11c19f17,0,59,77,12
10353,ext_1243bc57,0,59,77,12
10353,ext_1247a901,0,59,77,10
10353,ext_13265e9c,0,59,77,12
10353,ext_1420363c,0,59,77,10
10353,ext_1489e260,0,59,77,10
10353,ext_14db01cf,0,75,77,2
10353,ext_15136077,0,59,77,11
10353,ext_1a790ca3,0,59,77,10
10353,ext_1c773b23,0,59,77,10
10353,ext_20cffa48,0,59,77,10
10353,ext_2237ed21,0,59,77,10
10353,ext_256882bd,0,59,77,10
10353,ext_26860eb3,0,59,77,10
10353,ext_27749948,0,59,77,10
10353,ext_27d8ca0e,0,59,77,10
10353,ext_288bb1cd,0,59,77,10
10353,ext_29b7a57b,0,59,77,10
10353,ext_2cd316b4,0,59,77,12
10353,ext_2d443280,0,59,77,10
10353,ext_2fc92766,0,59,77,10
10353,ext_31400401,0,59,77,10
10353,ext_3468ed4c,0,59,77,10
10353,ext_358d2a16,0,59,77,10
10353,ext_364d3046,0,59,77,12
10353,ext_372482dc,0,59,77,12
10353,ext_38deb464,0,59,77,10
10353,ext_3c77ec6b,0,59,77,11
10353,ext_3d7e97f2,0,59,77,12
10353,ext_40210fcf,0,59,77,11
10353,ext_42244a84,0,75,77,2
10353,ext_4a50e2a5,0,59,77,10
10353,ext_4c176d7e,0,59,77,10
10353,ext_4f2c94bc,0,59,77,10
10353,ext_5761f4e4,0,59,77,10
10353,ext_59ac1655,0,59,77,12
10353,ext_5be1b811,0,59,77,10
10353,ext_5cafb89a,0,59,77,10
10353,ext_5e56e6ae,0,59,77,10
10353,ext_5ecb25fb,0,59,77,12
10353,ext_5f2657d9,0,59,77,10
10353,ext_5f768828,0,59,77,10
10353,ext_6087b25a,0,59,77,10
10353,ext_63d2d383,0,59,77,10
10353,ext_6560ee8c,0,59,77,10
10353,ext_6686dd9a,0,59,77,12
10353,ext_66e65bce,0,59,77,10
10353,ext_66f7b31b,0,59,77,11
10353,ext_687e21b1,0,59,77,10
10353,ext_6911f91f,0,59,62,2
10353,ext_69f40357,0,59,77,10
10353,ext_6caa1d64,0,59,77,10
10353,ext_6e3f1292,0,59,77,10
10353,ext_724db810,0,59,77,10
10353,ext_7769b9e4,0,59,77,10
10353,ext_7b573958,0,59,77,10
10353,ext_7be16822,0,59,77,10
10353,ext_7c0e354a,0,59,77,10
10353,ext_7d8d11e9,0,59,77,10
10353,ext_7f83a79e,0,59,77,10
10353,ext_8059d4e9,0,59,77,10
10353,ext_8725c702,0,59,77,12
10353,ext_8746e737,0,63,77,8
10353,ext_884fd45c,0,59,77,10
10353,ext_8a6750e0,0,59,77,11
10353,ext_8abd9b15,0,75,77,2
10353,ext_8af36c0d,0,62,77,9
10353,ext_8bb2ee0c,0,75,77,2
10353,ext_8d1b27c4,0,59,77,10
10353,ext_8d50f183,0,59,77,10
10353,ext_913ac954,0,59,77,10
10353,ext_91652de5,0,59,77,10
10353,ext_9169ba8c,0,59,77,10
10353,ext_93ebc4e1,0,59,77,11
10353,ext_95bd550e,0,59,77,10
10353,ext_96409e7d,0,59,77,10
10353,ext_98033ea7,0,59,77,11
10353,ext_98bd79ea,0,59,77,10
10353,ext_99322a32,0,59,77,10
10353,ext_9c678a24,0,59,77,10
10353,ext_9ed12d01,0,59,77,10
10353,ext_9fe9c726,0,59,77,10
10353,ext_a112fe8d,0,59,77,10
10353,ext_a3c943f4,0,59,77,10
10353,ext_a3d75ded,0,59,77,10
10353,ext_a544249f,0,59,77,10
10353,ext_a6ae4022,0,59,77,10
10353,ext_a6e5e4c1,0,59,77,12
10353,ext_a91fdd9e,0,59,77,10
