egoid,alter_id,is_study_peer,study_week,stata_week,flow_in,flow_out,total_flow,is_saved_in_contacts
32100,147679,0,0,2684,0,1,1,0
32100,636274,0,0,2684,0,1,1,0
32174,138488,0,0,2684,0,1,1,0
32174,152479,0,0,2684,0,1,1,0
32174,191823,0,0,2684,0,1,1,0
32174,782999,0,0,2684,1,0,1,0
33094,38901,1,0,2684,1,0,1,0
33094,194779,0,0,2684,1,1,2,0
34853,1579,0,0,2684,2,0,2,0
34853,1948,0,0,2684,1,0,1,0
34853,100419,0,0,2684,0,1,1,0
34853,103532,0,0,2684,0,1,1,0
34853,107583,0,0,2684,1,3,4,0
34853,119943,0,0,2684,1,1,2,0
34853,122233,0,0,2684,3,3,6,0
34853,129234,0,0,2684,4,5,9,0
34853,129431,0,0,2684,7,7,14,0
34853,139417,0,0,2684,0,1,1,0
34853,139564,0,0,2684,2,3,5,0
34853,141112,0,0,2684,0,1,1,0
34853,149019,0,0,2684,0,1,1,0
34853,149175,0,0,2684,0,1,1,0
34853,150351,0,0,2684,5,4,9,0
34853,155357,0,0,2684,4,3,7,0
34853,158324,0,0,2684,0,2,2,0
34853,158948,0,0,2684,1,1,2,0
34853,161231,0,0,2684,1,2,3,0
34853,166673,0,0,2684,6,5,11,0
34853,168879,0,0,2684,0,1,1,0
34853,174883,0,0,2684,1,1,2,0
34853,182121,0,0,2684,0,1,1,0
34853,186145,0,0,2684,0,1,1,0
34853,187339,0,0,2684,1,0,1,0
34853,187972,0,0,2684,28,30,58,0
34853,189800,0,0,2684,1,2,3,0
34853,190019,0,0,2684,0,1,1,0
34853,192467,0,0,2684,3,2,5,0
34853,202557,0,0,2684,0,2,2,0
34853,225964,0,0,2684,0,1,1,0
34853,229992,0,0,2684,0,1,1,0
34853,247370,0,0,2684,1,1,2,0
34853,271174,0,0,2684,0,1,1,0
34853,271442,0,0,2684,0,1,1,0
34853,304322,0,0,2684,0,1,1,0
34853,315773,0,0,2684,0,1,1,0
34853,320181,0,0,2684,3,4,7,0
34853,381564,0,0,2684,0,1,1,0
34853,383818,0,0,2684,0,3,3,0
34853,389716,0,0,2684,0,1,1,0
34853,426921,0,0,2684,0,1,1,0
34853,434960,0,0,2684,1,1,2,0
34853,446381,0,0,2684,1,2,3,0
34853,474496,0,0,2684,1,1,2,0
34853,476728,0,0,2684,0,1,1,0
34853,492314,0,0,2684,0,1,1,0
34853,508129,0,0,2684,0,1,1,0
34853,517049,0,0,2684,2,1,3,0
34853,526845,0,0,2684,0,1,1,0
34853,533723,0,0,2684,0,1,1,0
34853,535691,0,0,2684,0,1,1,0
34853,542348,0,0,2684,0,1,1,0
34853,543893,0,0,2684,2,2,4,0
34853,564027,0,0,2684,0,1,1,0
34853,567865,0,0,2684,1,2,3,0
34853,571653,0,0,2684,2,2,4,0
34853,572071,0,0,2684,1,1,2,0
34853,575012,0,0,2684,0,1,1,0
34853,588433,0,0,2684,1,1,2,0
34853,598032,0,0,2684,1,1,2,0
34853,644402,0,0,2684,0,1,1,0
34853,647044,0,0,2684,0,2,2,0
34853,664211,0,0,2684,0,1,1,0
34853,690340,0,0,2684,2,2,4,0
34853,717035,0,0,2684,1,1,2,0
34853,728525,0,0,2684,0,2,2,0
34853,789569,0,0,2684,1,2,3,0
34853,793869,0,0,2684,1,1,2,0
34853,794961,0,0,2684,0,1,1,0
34853,824038,0,0,2684,2,1,3,0
34853,836485,0,0,2684,0,1,1,0
34853,858224,0,0,2684,1,1,2,0
34853,859578,0,0,2684,0,1,1,0
34853,889645,0,0,2684,1,2,3,0
34853,893647,0,0,2684,15,17,32,0
34853,899428,0,0,2684,0,1,1,0
35227,113075,0,0,2684,0,3,3,0
35227,163757,0,0,2684,0,1,1,0
35227,188369,0,0,2684,0,1,1,0
35227,354262,0,0,2684,1,0,1,0
35227,810064,0,0,2684,0,1,1,0
36006,57637,1,0,2684,1,2,3,1
36006,156285,0,0,2684,1,1,2,0
36006,162683,0,0,2684,0,1,1,0
36006,199543,0,0,2684,1,0,1,0
36143,312,0,0,2684,0,5,5,0
36143,18707,1,0,2684,0,1,1,1
36143,104508,0,0,2684,10,6,16,0
36143,113315,0,0,2684,1,1,2,0
36143,120240,0,0,2684,0,1,1,0
36143,170457,0,0,2684,1,0,1,0
36143,180048,0,0,2684,2,1,3,0
36143,195119,0,0,2684,2,2,4,0
36143,556975,0,0,2684,1,1,2,0
36951,326180,0,0,2684,1,0,1,0
38901,209,0,0,2684,1,0,1,0
38901,312,0,0,2684,0,2,2,0
38901,33094,1,0,2684,0,1,1,0
38901,106321,0,0,2684,1,0,1,0
38901,106868,0,0,2684,0,1,1,0
38901,118580,0,0,2684,1,0,1,0
38901,139756,0,0,2684,0,1,1,0
38901,144783,0,0,2684,0,1,1,0
38901,158078,0,0,2684,6,4,10,0
38901,168511,0,0,2684,6,5,11,0
38901,168741,0,0,2684,1,1,2,0
38901,168780,0,0,2684,3,3,6,0
38901,566943,0,0,2684,0,1,1,0
38901,694227,0,0,2684,1,0,1,0
38901,781412,0,0,2684,1,0,1,0
39122,209,0,0,2684,1,0,1,0
39122,22931,1,0,2684,11,11,22,0
39122,101023,0,0,2684,0,1,1,0
39122,101924,0,0,2684,1,3,4,0
39122,107306,0,0,2684,2,1,3,0
39122,107499,0,0,2684,0,1,1,0
39122,120374,0,0,2684,0,1,1,0
39122,121506,0,0,2684,6,11,17,0
39122,127141,0,0,2684,8,3,11,0
39122,130700,0,0,2684,1,3,4,0
39122,132240,0,0,2684,1,1,2,0
39122,133802,0,0,2684,2,2,4,0
39122,138510,0,0,2684,0,1,1,0
39122,148231,0,0,2684,3,4,7,0
39122,157586,0,0,2684,0,1,1,0
39122,170753,0,0,2684,0,1,1,0
39122,173775,0,0,2684,0,1,1,0
39122,186563,0,0,2684,1,1,2,0
39122,255439,0,0,2684,3,4,7,0
39122,255613,0,0,2684,0,1,1,0
39122,269835,0,0,2684,0,1,1,0
39122,392897,0,0,2684,0,1,1,0
39122,461743,0,0,2684,0,1,1,0
39122,462380,0,0,2684,0,1,1,0
39122,679677,0,0,2684,3,4,7,0
39122,700796,0,0,2684,3,2,5,0
39122,824715,0,0,2684,1,1,2,0
39122,851152,0,0,2684,0,1,1,0
39122,871690,0,0,2684,0,1,1,0
39701,114541,0,0,2684,0,1,1,0
39701,157127,0,0,2684,0,1,1,0
39701,161874,0,0,2684,0,1,1,0
40557,312,0,0,2684,0,2,2,0
40557,116852,0,0,2684,1,0,1,0
40557,118419,0,0,2684,3,3,6,0
40557,132704,0,0,2684,2,2,4,0
40557,197135,0,0,2684,5,5,10,0
40629,131257,0,0,2684,3,3,6,0
40877,129680,0,0,2684,7,10,17,0
40877,176556,0,0,2684,7,10,17,0
40877,302663,0,0,2684,0,1,1,0
41393,153665,0,0,2684,1,1,2,0
44167,209,0,0,2684,2,2,4,0
44167,1920,0,0,2684,1,0,1,0
44167,100985,0,0,2684,9,7,16,0
44167,126143,0,0,2684,10,9,19,0
44167,352572,0,0,2684,2,0,2,0
44167,448903,0,0,2684,0,1,1,0
44167,529051,0,0,2684,0,2,2,0
44167,629242,0,0,2684,0,1,1,0
44520,178036,0,0,2684,0,2,2,0
44956,110369,0,0,2684,1,1,2,0
45000,1579,0,0,2684,2,0,2,0
45000,1920,0,0,2684,1,0,1,0
45000,113642,0,0,2684,4,4,8,0
45000,125513,0,0,2684,1,2,3,0
45000,133442,0,0,2684,0,1,1,0
45000,152757,0,0,2684,3,4,7,0
45000,155369,0,0,2684,7,8,15,0
45000,193705,0,0,2684,1,2,3,0
45000,214052,0,0,2684,0,2,2,0
45000,310835,0,0,2684,1,2,3,0
45000,319432,0,0,2684,1,2,3,0
45000,475804,0,0,2684,1,2,3,0
45000,773372,0,0,2684,0,1,1,0
45539,139152,0,0,2684,3,2,5,0
45945,209,0,0,2684,1,0,1,0
45945,1920,0,0,2684,1,0,1,0
45945,130968,0,0,2684,7,7,14,0
45945,132839,0,0,2684,4,3,7,0
45945,155631,0,0,2684,1,0,1,0
45945,176482,0,0,2684,3,2,5,0
45945,176574,0,0,2684,72,73,145,0
45945,181020,0,0,2684,8,6,14,0
45945,241840,0,0,2684,3,3,6,0
45945,314162,0,0,2684,1,0,1,0
45945,395654,0,0,2684,4,4,8,0
45945,571633,0,0,2684,1,0,1,0
45945,625469,0,0,2684,3,2,5,0
45945,691862,0,0,2684,1,0,1,0
45945,693697,0,0,2684,1,0,1,0
45945,756837,0,0,2684,2,1,3,0
45945,759989,0,0,2684,1,1,2,0
45945,868686,0,0,2684,5,4,9,0
46021,312,0,0,2684,0,2,2,0
46021,1920,0,0,2684,1,0,1,0
46021,101110,0,0,2684,5,4,9,0
46021,119468,0,0,2684,7,7,14,0
46021,120598,0,0,2684,0,1,1,0
46021,150665,0,0,2684,33,29,62,0
46021,167916,0,0,2684,4,3,7,0
46021,189606,0,0,2684,3,4,7,0
46021,196533,0,0,2684,1,2,3,0
46160,103949,0,0,2684,0,1,1,0
46160,166302,0,0,2684,0,1,1,0
46160,181319,0,0,2684,3,2,5,0
46160,699181,0,0,2684,1,1,2,0
46654,1920,0,0,2684,1,0,1,0
46654,109102,0,0,2684,31,31,62,0
46654,141141,0,0,2684,17,15,32,0
46654,147087,0,0,2684,0,1,1,0
46654,153938,0,0,2684,1,1,2,0
