ego1,ego2,term,semester,academic_year,college_year,crn
40997,50947,201310,Fall 2013,2013-2014,Junior,11456
40997,50947,201310,Fall 2013,2013-2014,Junior,11457
40997,50947,201310,Fall 2013,2013-2014,Junior,11700
44520,45945,201310,Fall 2013,2013-2014,Junior,11490
46021,68633,201310,Fall 2013,2013-2014,Junior,13363
46021,68633,201310,Fall 2013,2013-2014,Junior,13372
46021,68633,201310,Fall 2013,2013-2014,Junior,20906
46021,68633,201310,Fall 2013,2013-2014,Junior,20919
46160,49294,201310,Fall 2013,2013-2014,Junior,12628
46160,51722,201310,Fall 2013,2013-2014,Junior,11959
46160,85596,201310,Fall 2013,2013-2014,Junior,19988
46584,53884,201310,Fall 2013,2013-2014,Junior,13469
48187,51102,201310,Fall 2013,2013-2014,Junior,19844
48187,95798,201310,Fall 2013,2013-2014,Junior,14740
49294,51722,201310,Fall 2013,2013-2014,Junior,12725
49294,63757,201310,Fall 2013,2013-2014,Junior,12180
49294,63757,201310,Fall 2013,2013-2014,Junior,12182
49294,85596,201310,Fall 2013,2013-2014,Junior,12061
50947,92699,201310,Fall 2013,2013-2014,Junior,10743
51597,58909,201310,Fall 2013,2013-2014,Junior,18895
52385,95400,201310,Fall 2013,2013-2014,Junior,19915
57637,66754,201310,Fall 2013,2013-2014,Junior,12700
57637,66754,201310,Fall 2013,2013-2014,Junior,12701
57637,66754,201310,Fall 2013,2013-2014,Junior,14954
58909,61280,201310,Fall 2013,2013-2014,Junior,10255
58909,70889,201310,Fall 2013,2013-2014,Junior,11440
60482,63757,201310,Fall 2013,2013-2014,Junior,18546
63188,99367,201310,Fall 2013,2013-2014,Junior,11961
63757,90844,201310,Fall 2013,2013-2014,Junior,16685
70889,74916,201310,Fall 2013,2013-2014,Junior,12529
70889,85596,201310,Fall 2013,2013-2014,Junior,18580
71518,74916,201310,Fall 2013,2013-2014,Junior,12799
74916,75468,201310,Fall 2013,2013-2014,Junior,10570
75178,78966,201310,Fall 2013,2013-2014,Junior,11520
75468,98326,201310,Fall 2013,2013-2014,Junior,11422
84472,92699,201310,Fall 2013,2013-2014,Junior,14821
92220,93418,201310,Fall 2013,2013-2014,Junior,101001002
92220,96124,201310,Fall 2013,2013-2014,Junior,201002002
92220,96124,201310,Fall 2013,2013-2014,Junior,201003003
92811,93418,201310,Fall 2013,2013-2014,Junior,12706
92811,99749,201310,Fall 2013,2013-2014,Junior,101002002
97655,99856,201310,Fall 2013,2013-2014,Junior,14408
10841,15723,201320,Spring 2014,2013-2014,Junior,29712
10841,36006,201320,Spring 2014,2013-2014,Junior,24573
10841,49294,201320,Spring 2014,2013-2014,Junior,21311
10841,49294,201320,Spring 2014,2013-2014,Junior,21667
10841,53275,201320,Spring 2014,2013-2014,Junior,20607
10841,53275,201320,Spring 2014,2013-2014,Junior,20969
